County,Hispanic
"Burke County, North Carolina",
"    Burke County, North Carolina","7,184"
"Cabarrus County, North Carolina",
"    Cabarrus County, North Carolina","27,263"
"Caldwell County, North Carolina",
"    Caldwell County, North Carolina","4,923"
"Camden County, North Carolina",
"    Camden County, North Carolina",340
"Carteret County, North Carolina",
"    Carteret County, North Carolina","3,119"
"Caswell County, North Carolina",
"    Caswell County, North Carolina","1,002"
"Catawba County, North Carolina",
"    Catawba County, North Carolina","17,377"
"Chatham County, North Carolina",
"    Chatham County, North Carolina","10,372"
"Cherokee County, North Carolina",
"    Cherokee County, North Carolina",899
"Chowan County, North Carolina",
"    Chowan County, North Carolina",530
"Clay County, North Carolina",
"    Clay County, North Carolina",438
"Cleveland County, North Carolina",
"    Cleveland County, North Carolina","4,039"
"Columbus County, North Carolina",
"    Columbus County, North Carolina","2,613"
"Craven County, North Carolina",
"    Craven County, North Carolina","7,195"
"Cumberland County, North Carolina",
"    Cumberland County, North Carolina","39,498"
"Currituck County, North Carolina",
"    Currituck County, North Carolina","1,218"
"Dare County, North Carolina",
"    Dare County, North Carolina","2,554"
"Davidson County, North Carolina",
"    Davidson County, North Carolina","13,902"
"Davie County, North Carolina",
"    Davie County, North Carolina","3,375"
"Duplin County, North Carolina",
"    Duplin County, North Carolina","10,813"
"Durham County, North Carolina",
"    Durham County, North Carolina","50,104"
"Edgecombe County, North Carolina",
"    Edgecombe County, North Carolina","2,706"
"Forsyth County, North Carolina",
"    Forsyth County, North Carolina","54,688"
"Franklin County, North Carolina",
"    Franklin County, North Carolina","6,962"
"Gaston County, North Carolina",
"    Gaston County, North Carolina","20,068"
"Gates County, North Carolina",
"    Gates County, North Carolina",201
"Graham County, North Carolina",
"    Graham County, North Carolina",219
"Granville County, North Carolina",
"    Granville County, North Carolina","6,211"
"Greene County, North Carolina",
"    Greene County, North Carolina","2,936"
"Guilford County, North Carolina",
"    Guilford County, North Carolina","52,152"
"Halifax County, North Carolina",
"    Halifax County, North Carolina","1,454"
"Harnett County, North Carolina",
"    Harnett County, North Carolina","18,899"
"Haywood County, North Carolina",
"    Haywood County, North Carolina","2,829"
"Henderson County, North Carolina",
"    Henderson County, North Carolina","14,999"
"Hertford County, North Carolina",
"    Hertford County, North Carolina","1,579"
"Hoke County, North Carolina",
"    Hoke County, North Carolina","7,687"
"Hyde County, North Carolina",
"    Hyde County, North Carolina",347
"Iredell County, North Carolina",
"    Iredell County, North Carolina","15,777"
"Jackson County, North Carolina",
"    Jackson County, North Carolina","3,292"
"Johnston County, North Carolina",
"    Johnston County, North Carolina","34,400"
"Jones County, North Carolina",
"    Jones County, North Carolina",394
"Lee County, North Carolina",
"    Lee County, North Carolina","13,122"
"Lenoir County, North Carolina",
"    Lenoir County, North Carolina","4,365"
"Lincoln County, North Carolina",
"    Lincoln County, North Carolina","6,412"
"McDowell County, North Carolina",
"    McDowell County, North Carolina","2,947"
"Macon County, North Carolina",
"    Macon County, North Carolina","3,498"
"Madison County, North Carolina",
"    Madison County, North Carolina",748
"Martin County, North Carolina",
"    Martin County, North Carolina",895
"Mecklenburg County, North Carolina",
"    Mecklenburg County, North Carolina","169,922"
"Mitchell County, North Carolina",
"    Mitchell County, North Carolina",701
"Montgomery County, North Carolina",
"    Montgomery County, North Carolina","3,924"
"Moore County, North Carolina",
"    Moore County, North Carolina","7,365"
"Nash County, North Carolina",
"    Nash County, North Carolina","7,322"
"New Hanover County, North Carolina",
"    New Hanover County, North Carolina","17,300"
"Northampton County, North Carolina",
"    Northampton County, North Carolina",353
"Onslow County, North Carolina",
"    Onslow County, North Carolina","27,641"
"Orange County, North Carolina",
"    Orange County, North Carolina","15,812"
"Pamlico County, North Carolina",
"    Pamlico County, North Carolina",496
"Pasquotank County, North Carolina",
"    Pasquotank County, North Carolina","2,237"
"Pender County, North Carolina",
"    Pender County, North Carolina","4,982"
"Perquimans County, North Carolina",
"    Perquimans County, North Carolina",309
"Person County, North Carolina",
"    Person County, North Carolina","2,195"
"Pitt County, North Carolina",
"    Pitt County, North Carolina","12,968"
"Polk County, North Carolina",
"    Polk County, North Carolina","1,026"
"Randolph County, North Carolina",
"    Randolph County, North Carolina","19,051"
"Richmond County, North Carolina",
"    Richmond County, North Carolina","3,072"
"Robeson County, North Carolina",
"    Robeson County, North Carolina","11,757"
"Rockingham County, North Carolina",
"    Rockingham County, North Carolina","6,086"
"Rowan County, North Carolina",
"    Rowan County, North Carolina","15,940"
"Rutherford County, North Carolina",
"    Rutherford County, North Carolina","3,286"
"Sampson County, North Carolina",
"    Sampson County, North Carolina","12,249"
"Scotland County, North Carolina",
"    Scotland County, North Carolina","1,106"
"Stanly County, North Carolina",
"    Stanly County, North Carolina","3,086"
"Stokes County, North Carolina",
"    Stokes County, North Carolina","1,456"
"Surry County, North Carolina",
"    Surry County, North Carolina","8,496"
"Swain County, North Carolina",
"    Swain County, North Carolina",592
"Transylvania County, North Carolina",
"    Transylvania County, North Carolina","1,698"
"Tyrrell County, North Carolina",
"    Tyrrell County, North Carolina",272
"Union County, North Carolina",
"    Union County, North Carolina","30,110"
"Vance County, North Carolina",
"    Vance County, North Carolina","3,717"
"Wake County, North Carolina",
"    Wake County, North Carolina","128,241"
"Warren County, North Carolina",
"    Warren County, North Carolina",739
"Washington County, North Carolina",
"    Washington County, North Carolina",371
"Watauga County, North Carolina",
"    Watauga County, North Carolina","3,521"
"Wayne County, North Carolina",
"    Wayne County, North Carolina","14,927"
"Wilkes County, North Carolina",
"    Wilkes County, North Carolina","4,654"
"Wilson County, North Carolina",
"    Wilson County, North Carolina","9,024"
"Yadkin County, North Carolina",
"    Yadkin County, North Carolina","4,382"
"Yancey County, North Carolina",
"    Yancey County, North Carolina","1,016"
